alx,aly,alz,glx,gly,glz,arx,ary,arz,grx,gry,grz,Activity
-0.8879100000000001,-9.7578,1.4511,-0.69388,-0.6866800000000001,0.44597,-5.3025,-2.255,-1.4982,-0.67843,0.5646800000000001,-0.55388,0
3.1982,-9.9639,-0.35163,-0.5844199999999999,-0.8236399999999999,0.053045,-12.33,-8.5614,8.8636,-0.80196,-0.68994,0.096983,0
-0.60627,-7.1125,0.62789,-0.30612,-0.50844,-0.93124,-0.35513,-9.8255,1.4462,-0.10392,-1.0945,-0.2349099999999999,0
1.9884,-11.06,-3.0331,0.49536,-0.52345,-0.8231799999999999,-3.2675,-9.2633,0.67225,-0.18431,-0.7659100000000001,0.8836200000000001,0
1.7957,-9.8381,0.34897,0.78108,-0.72795,-0.17878,-1.2772,-7.9843,3.5695,0.54902,-0.77413,0.5280199999999999,0
0.29778,-13.585,0.8862200000000001,-0.43043,-0.72983,-0.59528,6.0939,-8.6824,6.7638,-0.15294,-1.1355,0.32328,0
-3.0847,-7.9436,-7.2301,-0.5547300000000001,-0.10131,-0.7053,-1.5819,-1.4944,8.5607,-0.3764699999999999,-1.2238,0.4956899999999999,0
6.446000000000001,-19.251,-6.2835,-0.60853,-0.2701699999999999,-0.92731,-5.2759,-13.51,2.0328,0.068627,-0.97947,-0.56034,0
-0.3572599999999999,-9.6577,1.5552,-0.46197,-0.62664,0.59332,-1.8085,-12.113,1.6547,-0.68824,-0.79055,0.34914,0
3.2671,-7.9784,-5.7621,0.48794,-0.7410899999999999,-0.037328,2.7497,-6.7973,6.2747,0.8902,-0.1807,0.7780199999999999,0
-1.7896,-11.720999999999998,1.1565,0.0,-0.63039,-0.7308399999999999,-10.55,-1.1231,-2.3062,-0.3941199999999999,-0.6345,-0.5172399999999999,0
-0.23505,-11.188,0.00074393,-0.4081599999999999,-0.71482,-0.6994100000000001,-7.223,-6.4508,3.917,0.10196,-1.0246,-0.46336,0
1.4672,-10.031,-1.0702,0.56957,-0.7636,-0.021611,-3.6657,-9.3669,1.3129,0.14902,-0.84805,0.75431,0
2.0735,-9.3661,0.021178,-0.43599,-0.81801,-0.52456,-0.12497,-10.274,5.5905,0.3,-0.94867,-0.51078,0
0.45316,-10.693,0.94902,-1.0853,-1.5816,0.0019646,-3.6466,-9.1839,0.6137199999999999,-0.62157,-1.7967,-0.52155,0
1.053,-9.8362,-0.45003,-0.45083,-0.8236399999999999,-0.50688,-2.0885,-9.1766,2.3433,-0.064706,-1.1006,-0.34914,0
2.2471,-9.6357,0.79069,-0.35436,-0.79362,0.37328,3.1447,8.5831,0.3145699999999999,-0.25294,1.0595,-0.11422,0
0.1277599999999999,-9.4122,2.3432,-0.0074212,-0.56285,0.7406699999999999,-3.5088,-9.2064,1.3626,-0.5764699999999999,-0.58522,0.74138,0
2.1328,-13.809,-6.6483,-0.64564,-0.8442799999999999,-0.18075,-2.5459,-10.789,4.1272,-0.7078399999999999,-0.85421,-0.0538789999999999,0
1.0161,-13.732,-2.9369,0.13729,-0.81426,0.30059,-10.055,-3.9851,2.4882,-0.90196,0.24025,0.3556,0
6.4422,-19.418,-19.073,-0.35807,-0.76548,-0.6994100000000001,-0.35844,-3.8311,7.8918,-0.48235,-0.049281,0.71983,0
0.92179,-9.8745,0.67174,-0.52505,-0.86492,-0.60118,-2.9988,2.3385,8.8461,-0.76078,-0.24025,0.81034,0
0.57333,-9.916,0.47868,-0.1020399999999999,-0.8836799999999999,-0.70923,-8.1066,1.7962,-5.3789,-0.99804,-0.34908,-0.10776,0
0.93497,-9.8915,0.95228,0.27087,-0.8029999999999999,-0.59921,-2.9136,-9.4672,1.2766,0.42549,-1.0493,0.10345,0
0.067804,-9.4812,1.3808,-0.60853,-0.69418,-0.57171,-4.1317,-4.6041,-7.4073,-0.1549,-0.38809,-0.98707,0
-0.37122,-9.5921,-0.79582,-0.8478700000000001,-0.65478,0.26523,-5.3487,-9.3227,2.7318,-1.0549,-0.6611899999999999,0.3211199999999999,0
3.8422,-9.2723,1.4811,0.20037,-0.81989,-0.60118,-4.1175,-9.3763,2.3749,0.23922,-1.0637,-0.20474,0
1.47,-19.339,-10.098,-0.5102,-0.72983,-0.5049100000000001,-6.3505,1.6713,0.12523,-0.77647,0.032854,-0.66164,0
3.227,-10.765,0.7127600000000001,-0.076067,-0.82176,-0.67583,-8.9454,-9.2872,5.2752,0.53725,-0.85626,-0.50862,0
-9.3449,-11.008,-5.7063,-0.25603,-0.67167,-0.80747,-6.8021,-6.9628,-0.2752199999999999,-0.2,-0.97331,-0.44181,0
0.83375,-9.8809,0.024707,0.62152,-0.72233,-0.36935,-9.352,0.8013399999999999,1.1338,-0.76863,-0.73511,0.28233,0
-0.4652,-10.244000000000002,-0.64185,0.45826,-0.76173,0.2947,-9.559,-1.6116,-5.1639,-1.0039,0.080082,0.36207,0
-0.072874,-8.9902,-1.9919,-0.54545,-0.74859,-0.65422,-5.6895,-9.339,1.0955,-0.29804,-0.89938,-0.4331899999999999,0
0.39386,-8.7832,-3.0706,0.74397,-0.53846,-0.2298599999999999,0.36923,-4.9599,1.0124,-0.6686300000000001,-0.52567,0.64655,0
